username,userid,profile_location,created_at,text,retweet_count,source,coordinates
SpacePrez 💙,1115830759,"Austin, TX",2023-01-21 22:39:54+00:00,@nanalyzetweets @odannyboy @andybudd If they were incompetent why did it take to a mass layoff to fire them? They s… https://t.co/wK9FfdtfR7,0,Twitter for Android,
🇺🇲TradeTexasBig🇮🇳,612135517,"Austin, TX",2023-01-21 18:04:48+00:00,This mass layoff is the first in social media era.. so it feels bigger than it really is. i have never been in 1 in… https://t.co/qwJbYofNC0,0,Twitter Web App,
GW,50826929,Metroplex,2023-01-21 17:33:38+00:00,"226-175-21 YTD, add #WerderBremen UNDER 2.5: total falls like a rock, 3 has been gone. Long layoff for either offen… https://t.co/882AsrLlqH",0,Twitter for iPhone,
"Katie McCauley • ex-Google, open to work",560783825,"Austin, TX",2023-01-21 15:50:21+00:00,I’m overwhelmed by the response from my Google layoff tweet! Thank you so SO  much for all the support &amp; job leads.… https://t.co/72kAjJaZrE,0,Twitter for iPhone,
Nate Wilcox,19006017,"Austin, Texas",2023-01-21 05:56:50+00:00,"@DerekMaberry @MikeBreslin815 FWIW I thought it was a well executed layoff. Big improvement over the last time. 
Th… https://t.co/xhU4bJsrk3",0,Twitter for Android,
Erin,256382587,"Austin, TX",2023-01-21 05:22:53+00:00,"@MadBettyATX I was full time somewhere else, so got the fun of two layoff notices in 24 hours (but survived the Vox layoffs).",0,Twitter Web App,
Jay B Sauceda,10511402,"Austin, TX",2023-01-21 03:09:42+00:00,"More layoff news today means more people receiving cold distant corporate language regarding RIFs.

I’ve laid peopl… https://t.co/55EywfTO73",1,Typefully,
"Jim, bong ho",19755602,"Austin, TX",2023-01-21 01:17:26+00:00,@demimancy Layoff season sucks. Sorry to hear. Would you rather be tagged in silly job postings or serious ones,0,Twitter for iPhone,
Kit Macik (Xe/Xey),1489674553278312448,"Austin, TX",2023-01-20 22:36:51+00:00,How is it that we have both a hiring shortage AND a layoff/firing spike across the nation? Something isn't somethinging right.,0,Twitter Web App,
Adam Rosenlund,15329127,"Austin, TX",2023-01-20 19:32:29+00:00,@patrickklepek Media CEOs catching feelings before sending out that layoff email: https://t.co/ClQpO7QYFU,0,Twitter Web App,
Marshall Burns,3231222260,"Austin, Texas",2023-01-20 19:03:51+00:00,"@Google set to layoff 12,000 folks 👀",0,Twitter for iPhone,
