username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Chritopherr ☭ (On Your Left),56421422,"Austin, Texas, USA",2023-01-20 17:17:33+00:00,"@WoobieToosday Seems relevant...

https://t.co/bevL1BWvsc",0,Twitter Web App,
Chritopherr ☭ (On Your Left),56421422,"Austin, Texas, USA",2023-01-20 17:16:27+00:00,"Tech industry workers need to unionize.

https://t.co/bevL1BWvsc",0,Twitter Web App,
Gabsu,531943356,"Austin, TX",2023-01-20 16:20:06+00:00,@qorquiq Shayna I’m so sorry to hear about the layoff :( I will keep an ear open for you,0,Twitter for iPhone,
Kate Sánchez⁷,2363055912,"Austin, TX",2023-01-20 16:02:08+00:00,I don't think anything accurately explains how scary the job market is now that ALL of the FAANG companies (+micros… https://t.co/7q7N8zLmKW,7,Twitter for Android,
Penny Riordan,977040996,"Austin, TX",2023-01-20 15:59:09+00:00,"@smydrad A measured, grounded approach to processing a layoff, thanks for sharing!",0,Twitter Web App,
Wist£ry,841698275862368256,"Austin, TX",2023-01-20 14:36:30+00:00,"Layoff season… Google joining the club with Amazon, Microsoft, and Meta. 

https://t.co/Ek7jBbuchT",0,Twitter for iPhone,
Psychic-Trader Reddy,64619370,"Austin, Tx",2023-01-20 13:05:06+00:00,$W W layoff 10% stock up 7% $41+,0,StockTwits Web,
Abel Olmos 🇩🇴,221898976,"Austin, TX",2023-01-20 02:01:55+00:00,I was affected by the recent #layoff of 2023. My first reaction was “I have an opportunity of a lifetime” will be worth it!💯 stay tuned!🔐,0,Twitter for iPhone,
Q♦️🌊,745721636,"Austin, TX",2023-01-19 23:12:04+00:00,“Now he layoff Lenny”😂😂😭 https://t.co/fEYNZrjc1Y,0,Twitter for iPhone,
Trey Wheeler,255266305,"Austin, TX",2023-01-19 22:24:47+00:00,"To my friends at @Amazon and other tech companies experiencing layoff, whatever happens to you, the company and you… https://t.co/Oodik6OBVA",7,Twitter for iPhone,
Shashi Lo,1415311517206171650,"Austin, TX",2023-01-19 00:26:39+00:00,I'm so sorry for those of you who were affected by the Microsoft layoff today. It truly sucks! Let me know if I can… https://t.co/nV0LmoBA9W,0,Twitter for iPhone,
Shashi Lo,1415311517206171650,"Austin, TX",2023-01-19 00:10:04+00:00,I'm so sorry for those of you who were effected by the Microsoft layoff today. It truly sucks! Let me know if I can… https://t.co/TcuuhUxMNA,1,Twitter for iPhone,
Daryl Chalberg,806325061141598208,"Austin, TX",2023-01-18 21:33:04+00:00,"2023 starts with announcements from various high tech firms who are laying off their employees, but will they also… https://t.co/EJPHT2D2HI",0,Twitter Web App,
Patrick Moorhead,14927543,"Austin, TX",2023-01-18 20:34:01+00:00,-Every subsequent job I had after the layoff was better than the job I left. Sometimes you stay bc leaving seems di… https://t.co/Bo96DSaegl,1,Twitter Web App,
Grice_D,41287792,"Austin, Texas",2023-01-18 20:30:48+00:00,"#microsoft laying off 10,000 more employees. #amazon set to layoff 15,000 more employees. When will the economy whi… https://t.co/rXSg2ujToH",0,Twitter Web App,
Jacob P Luu,599619964,"Austin, TX",2023-01-18 16:53:33+00:00,"@jasonschreier Yikes, got to feel sorry for those who is layoff",0,Twitter for Android,
Chris Davis,278666824,Austin,2023-01-17 22:47:58+00:00,"I still think every school should have space and funding for moonshots 

https://t.co/58PCPaHDvR #alphabet @google… https://t.co/wm52rAwh2o",1,Twitter Web App,
Kathleen Lucente,26890154,"Austin, TX",2023-01-17 18:29:01+00:00,Layoff mania in the tech industry shows copycat behavior https://t.co/XTee7PhPfw via @Stanford,0,Twitter Web App,
Janet Sharkis💕,977020006151131136,"Austin, TX",2023-01-13 06:23:54+00:00,@akela_lacy I am so sorry to hear about the layoffs. I  was part of a layoff before Thanksgiving. If I can be of he… https://t.co/4HtPQikfSq,0,Twitter for iPhone,
LeeATX,1184665391601197056,"Austin, TX",2023-01-13 02:58:39+00:00,"Elon Musk has a new layoff tactic for Twitter employees abroad. Following the Trumpian success model, Musk doesn’t… https://t.co/LPjKw3Nrc6",0,Twitter for iPhone,
Felipe Adan Lerma,15157885,"Austin, TX",2023-01-12 01:39:58+00:00,"Dow Jones news to lay off employees today - ""The #layoffs appear to be global, with employees outside the United St… https://t.co/6eEBs30K85",1,Twitter for iPad,
The Truth About Guns,116440716,"Austin, Texas",2023-01-11 20:30:56+00:00,"A 15% drop in revenue tends to focus the mind. Not enough to dump its ESG investment strategy, but enough to dump a… https://t.co/Ey615UBINs",0,Twitter for iPhone,
