username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Arsalan,716276890621886465,"Palo Alto, CA",2023-01-20 17:15:26+00:00,@Ashrya3 The layoff was definitely NOT perf related. I know a lot of good people affected,0,Twitter for iPhone,
Erik Grossman,1161730988239511552,Silicon Valley,2023-01-20 17:10:03+00:00,Sigh https://t.co/QZjKPcvRQc,0,Twitter for iPhone,
Sharif & Associates,589570428,"Menlo Park, California",2023-01-20 17:06:34+00:00,The media will always sensationalize job layoff headlines for increased clicks. That is how they get ad revenue. He… https://t.co/7ncNVUVuz0,0,Twitter Web App,
Eric Friedlander,376539066,"Palo Alto, CA",2023-01-20 16:19:07+00:00,@ariellec Yeah but kind of the nature of an org that big unfortunately. Don’t think a good way really exists to do… https://t.co/qdkF174hb2,0,Twitter for iPhone,
Tuna Toksoz,11712342,"Mountain View, CA",2023-01-20 15:16:20+00:00,"Opening another company's layoff letter, reading about AI, making a tweet about that and feeling good about your st… https://t.co/aPS708uSBB",0,Twitter for Android,
Christopher Nguyen ⽗,11648452,"Los Altos, CA",2023-01-20 13:59:30+00:00,"Solid people caught in layoff waves: do consider @aitomatic if you are one of these:

1. Great system architect at… https://t.co/mLcUDoAOfP",1,Twitter for iPhone,
kaypaumier,15010549,Silicon Valley,2023-01-20 11:08:38+00:00,"Amazon leaders release memo on layoffs, ways to help Gen Z’ers find their spot I the workplace… https://t.co/ybLvCbJF6r",0,dlvr.it,
SiliconBeat,525839377,Silicon Valley,2023-01-20 01:12:46+00:00,Intel cuts more Bay Area jobs as tech layoffs worsen in 2023 https://t.co/ozKCuGk0pg,0,SocialFlow,
Mercury News,10433782,"Silicon Valley, CA",2023-01-20 01:02:12+00:00,Intel cuts more Bay Area jobs as tech layoffs worsen in 2023 https://t.co/KzmYBhXezd,1,SocialFlow,
Pete Vejanurug,299861791,"Palo Alto, CA",2023-01-19 23:09:09+00:00,Could it be layoff-related? 🤔 https://t.co/f7WhWKWpcX,0,Twitter for iPhone,
"Shantha R. Mohan, Ph.D., DTM",1051291681,"Palo Alto, CA",2023-01-19 18:33:41+00:00,"@MarkCCrowley Mark, layoff should always be the last resort. When you do that some look at the length of service, a… https://t.co/RoWMqtLvBa",0,Twitter Web App,
Sudhir S,43300932,"Sunnyvale, CA",2023-01-19 17:54:17+00:00,It has been incredibly heartbreaking to witness a constant flood of layoff posts from colleagues at Amazon and othe… https://t.co/QYkucuYZhR,0,LinkedIn,
Jason ✨Be Kind✨ Lemkin ,4215921,"Palo Alto, CA",2023-01-19 16:02:07+00:00,@Brdbrnm @GergelyOrosz This is the main reason for a 5% or smaller layoff,0,Twitter for iPad,
Sudhir S,43300932,"Sunnyvale, CA",2023-01-19 01:01:46+00:00,"Many of my fellow Amazonians had a terrible day today. Some people were directly impacted by the layoffs, while oth… https://t.co/kzpfqXwECK",0,LinkedIn,
Jag,129854854,"Santa Clara, CA",2023-01-19 00:53:25+00:00,@IAmNickDodson ChatGPT + Boston Dynamics robots == next big layoff,0,Twitter for Android,
Wisq,1431361314023108608,"Redwood City, CA",2023-01-18 23:45:22+00:00,"Studies show that 3/4 of employees who survive a corporate layoff say their own productivity declined.

This is how… https://t.co/KTqT8Y8BCX",0,Twitter Web App,
Silicon Valley Business Journal,17625154,Silicon Valley,2023-01-18 23:02:41+00:00,Here's how many people Microsoft is cutting in Silicon Valley as part of its mass layoff.  https://t.co/GiHYC5fZg0,0,True Anthem,
Samuel Ekpe,1322305993,"Portola Valley, CA",2023-01-18 21:13:42+00:00,"Any VC investing in startups tackling the layoff , labor and economic crisis ?

#layoffs",0,Twitter Web App,
SiliconBeat,525839377,Silicon Valley,2023-01-18 20:41:24+00:00,Microsoft trims Bay Area jobs as tech titan launches huge layoffs https://t.co/SKkfoI3eCb,0,SocialFlow,
Mercury News,10433782,"Silicon Valley, CA",2023-01-18 20:30:17+00:00,Microsoft trims Bay Area jobs as tech titan launches huge layoffs https://t.co/Yad49xnr3T,1,SocialFlow,
Seehoo,578284084,"Sunnyvale, CA",2023-01-18 17:29:16+00:00,"Microsoft, Amazon and other tech companies have laid off more than 60,000 #tech #layoff https://t.co/KJAfQkk74G",0,Twitter for iPhone,
Seehoo,578284084,"Sunnyvale, CA",2023-01-18 15:27:10+00:00,"Microsoft is laying off 10,000 employees #layoff $MSFT https://t.co/jmZqM6kThQ",0,Twitter for iPhone,
BGLTrueBitcoin,3050118178,"Santa Clara, CA",2023-01-18 01:54:04+00:00,Crypto recruitment execs reveal the safest jobs amid layoff season https://t.co/Fb6IPygsTU https://t.co/xpN97LVTYR,0,dlvr.it,
Ruth Benjamin,2612306095,"Milpitas, CA",2023-01-14 21:01:58+00:00,"As layoffs continue to rock the tech world, leaders would be smart to keep this advice in mind.… https://t.co/gDkl3LJAdQ",0,AdvisorStream v2,
SiliconBeat,525839377,Silicon Valley,2023-01-13 13:33:57+00:00,"Bay Area tech, biotech layoffs swell by several hundred more jobs https://t.co/yjUyAu3u9C",0,SocialFlow,
Mercury News,10433782,"Silicon Valley, CA",2023-01-13 13:26:02+00:00,"Bay Area tech, biotech layoffs swell by several hundred more jobs https://t.co/gMir5k9X6h",0,SocialFlow,
Joseph Yeh 🥟,18386753,"Sunnyvale, CA",2023-01-13 09:33:04+00:00,"Greenlight, kids-focused fintech startup, lays off 104 employees to optimize expenses | TechCrunch https://t.co/WEs6d2kWUQ",0,Twitter for iPhone,
newmode,2209283508,"Mountain View, CA USA",2023-01-12 21:36:08+00:00,"tm011420 Greenlight, kids-focused fintech startup, lays off 104 employees to optimize expenses https://t.co/ty1iRW8Hje",0,eClincher,
Algoworks,26541437,"Sunnyvale, CA 94086",2023-01-12 16:30:00+00:00,"@salesforce to layoff 10% of #employees, close some of its offices.

How will mass #layoff effect #salesforce?… https://t.co/ajM7kaiKRL",0,TweetDeck,
