username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Xanthe Wells,23161828,"Los Altos, CA",2023-01-21 20:22:13+00:00,💔for my Google friends impacted by the layoff and the hundreds of friends still there left 💔and missing their colle… https://t.co/JRzkmLZDdf,0,Twitter for iPhone,
"David West, Jr.",185071900,"San Jose, CA",2023-01-21 18:43:03+00:00,Tech layoffs: it’s no surprise the macro uncertainty and higher interest rates are the catalyst for @amazon… https://t.co/P9YmgW7hCg,0,Twitter for iPhone,
Brandon Downey,23375156,Mountain View,2023-01-21 18:15:45+00:00,"@halvarflake As a shareholder, I'd want to ask some questions:

So by laying off employees with so much money still… https://t.co/21GwhV1MBB",1,Twitter Web App,
(wannabe) Ƀreaker of (the Bad) Loops,1416500532,"Palo Alto, CA",2023-01-21 15:54:24+00:00,"life hack:

submit PRs to fix minor documentation errors in major projects because recruiters apparently don't chec… https://t.co/A1nshBUnDs",0,Twitter Web App,
Zukünftige Nachrichten,1264686966043324417,"Palo Alto, CA",2023-01-21 15:45:54+00:00,@jcj Yes. This new layoff-via-email culture is a massive human resources failure.,0,Twitter for Android,
theprofiler,905517236118573058,"Palo Alto, CA",2023-01-21 15:45:40+00:00,@ColtonOrtolf Why the heck is #layoff still legal?,0,Twitter Web App,
theprofiler,905517236118573058,"Palo Alto, CA",2023-01-21 15:43:10+00:00,@shanselman Are you the God of #layoff crying shoulder or something?,0,Twitter Web App,
Ed Zschau,7577862,"Menlo Park, CA",2023-01-21 13:52:19+00:00,"@bandanjot Best practices: 1/ take ownership, 2/ make only one cut, 3/ provide generous layoff package, 4/ provide… https://t.co/IHqMvnINRV",0,Twitter for iPhone,
Reza Tafteh,1303061643589382144,"Santa Clara, California",2023-01-21 12:29:32+00:00,"From Wall Street to Silicon Valley:

In principle if one of the megacap tech companies starts a massive layoff, the… https://t.co/xU2yQBJzXN",0,Twitter for iPhone,
Reza Tafteh,1303061643589382144,"Santa Clara, California",2023-01-21 12:20:05+00:00,He has a point. #layoff #tech https://t.co/525XZp7oCk,0,Twitter for iPhone,
Shayan,15421650,"Menlo Park, CA",2023-01-21 07:02:04+00:00,"If you got laid off, I want you to know crash cycle happens every 8-10 years, always new opportunities are created… https://t.co/FvWh0KiVOa",1,Twitter for iPhone,
Ovais Tariq,147217258,"Mountain View, CA",2023-01-21 05:59:16+00:00,@swyx @Shopify @twilio @amazon @Meta @Uber @lyft @stripe @apollographql @Netlify @coinbase @airtable @Plaid @Snap… https://t.co/FMGmZG5JdW,0,Twitter for iPhone,
MɪɴᴏʀTʜʀᴇᴀᴛMɪᴋᴇʏ⏳,91553218,"Santa Clara, CA",2023-01-21 05:08:06+00:00,"@nic__carter I mean, after the layoff happens, they can start slowly growing again.

It’ll only be bad if layoffs c… https://t.co/IkbQ3LS0ya",0,Twitter for iPhone,
James Newman,2409815474,"Sunnyvale, CA",2023-01-21 04:25:48+00:00,@cramforce It kind of makes sense from econobrain perspective to “overhire”when you can afford it even if you know… https://t.co/v1bcWfZXMd,0,Twitter Web App,
James Newman,2409815474,"Sunnyvale, CA",2023-01-21 03:21:26+00:00,"@copyconstruct I accept full responsibility for the previous decisions that now force us to layoff, but I will face… https://t.co/BP4IQvIMJj",1,Twitter Web App,
Dave Kellogg,100603066,"Silicon Valley, CA",2023-01-21 03:09:05+00:00,@bandanjot How you execute a layoff matters.  Google getting poor marks on execution today.  Twitter’s were a mess.… https://t.co/TVnnAL9FGa,3,Twitter for iPad,
Neeraj Mathur,6427012,"Silicon Valley, CA",2023-01-21 02:09:25+00:00,"With one of the harshest layoff weeks in tech in this round, I am reminded of @juanblanco76's article.… https://t.co/JhzDgAbqFg",1,Twitter Web App,
scott budman,18703437,silicon valley,2023-01-20 21:08:39+00:00,"From Google employee, re: layoff: ""...after 20 years at Google I unexpectedly find out about my last day via an ema… https://t.co/NaEnzuOQrF",16,Twitter Web App,
Seehoo,578284084,"Sunnyvale, CA",2023-01-20 20:26:11+00:00,"Wayfair stock climbs after online retailer lays off 1,750 workers #layoff $W https://t.co/G4rSaU2BhR",0,Twitter for iPhone,
Zuhayeer Musa,1357632942,"Cupertino, CA",2023-01-20 19:47:53+00:00,"Amidst all the layoff news, Mercedes-Benz announced a record breaking profit sharing bonus of up to €7,300 for empl… https://t.co/Murmy4ASB8",0,Twitter Web App,
Mike Rhone,14051384,"Santa Clara, CA",2023-01-20 19:14:16+00:00,"How not to do layoffs:
https://t.co/F0khxQ5zKd",0,Twitter Web App,
SiliconBeat,525839377,Silicon Valley,2023-01-20 18:59:16+00:00,"Bay Area defies tech layoffs, powers to big job gains in December https://t.co/VwOVpxQY8u",0,SocialFlow,
HiKo,623262574,"Mountain View, CA",2023-01-20 18:57:36+00:00,When I'm in my study I have an illusion: the whole world is talking about Google layoff; When I come to the living… https://t.co/4gPH7d27pW,0,Twitter Web App,
Mercury News,10433782,"Silicon Valley, CA",2023-01-20 18:51:01+00:00,"Bay Area defies tech layoffs, powers to big job gains in December https://t.co/D2qoB01CKf",2,SocialFlow,
Cyberhaven,759020449955057664,"Palo Alto, CA",2023-01-20 18:11:19+00:00,🚨 Data theft by workers looms over 2023 layoffs. Now is the time to protect your business and employees by implemen… https://t.co/6wEuzU951O,0,Twitter Web App,
New Low Observer,109705753,"Silicon Valley, CA",2023-01-20 17:50:46+00:00,A lot of talk about #layoffs in the current post peak pandemic period.  In our recent review of the New York Times… https://t.co/6qVoNcI0wp,0,Twitter Web App,
